theme;question;reponse
Livraison;Quel transporteur va me livrer ?;Le nom du transporteur vous est indiqué lors de l'étape Livraison de la validation de commande, en cliquant sur Afficher les détails de livraison. Vous retrouvez également cette information sur votre bon de commande, juste en dessous de votre adresse de livraison. Pour plus d’informations sur un transporteur, consultez les questions dans notre rubrique Livraison, section Délais et modalités de livraison par transporteur. 
Livraison;Colissimo : quels sont les délais et modalités d’une livraison ?;Vous êtes livré par Colissimo sous 4 à 6 jours ouvrés, au pied du bâtiment pour un immeuble ou au portail pour une maison. Dans le cas d'articles volumineux et/ou lourds, il est fortement recommandé de prévoir l'aide d'une tierce personne pour l'acheminement de vos articles jusqu'à votre domicile. Une fois votre commande remise au transporteur, vous recevez un e-mail de confirmation avec le numéro de colis et un lien pour suivre son acheminement. Un e-mail ou SMS vous est envoyé la veille du passage du transporteur pour vous informer de la livraison sur un créneau à la journée, de 9h à 18h.En cas d'indisponibilité, vous pouvez reporter la livraison au jour souhaité ou demander la mise en disponibilité dans un point de retrait. Il est également possible depuis le suivi Colissimo de demander un changement d’adresse de livraison ou d’apporter un complément d’information. En cas d’absence, votre colis est déposé dans votre boîte aux lettres si son volume le permet. Dans le cas contraire, un avis vous informe du passage du transporteur. Vous pouvez reprogrammer une livraison ou demander la mise à disposition dans un point de retrait. Si vous optez pour le retrait, vous disposez alors de 10 jours ouvrés pour retirer votre colis. Passé ce délai, celui-ci sera automatiquement renvoyé. En cas de besoin, vous pouvez joindre Colissimo au 36 31 et leur communiquer votre numéro de colis. 
Livraison;Geodis : quels sont les délais et modalités d’une livraison ?;Vous êtes livré par Geodis sous 4 à 6 jours ouvrés, au pied du bâtiment pour un immeuble ou au portail pour une maison. Dans le cas d'articles volumineux et/ou lourds, il est fortement recommandé de prévoir l'aide d'une tierce personne pour l'acheminement de vos articles jusqu'à votre domicile. Une fois votre commande remise au transporteur, vous recevez un e-mail de confirmation avec le numéro de bon de livraison (BL) et un lien pour suivre l’acheminement de votre colis. Pour une livraison par Geodis, un e-mail ou SMS vous est envoyé pour choisir une livraison entre dix dates possibles. Le livreur passera le jour convenu entre 9h et 17h. À noter, pour la région parisienne, la prise de rendez-vous se fait par téléphone ! Pour une livraison par Geodis MLP, le livreur se présentera à votre domicile sans rendez-vous, entre 9h et 17h, du lundi au vendredi. En cas d’absence, un avis de passage est laissé dans votre boîte aux lettres avec les coordonnées du transporteur pour convenir d’une nouvelle date de livraison, ou demander la mise à disposition dans un point de retrait. Si vous optez pour le retrait, vous disposez alors de 10 jours ouvrés pour retirer votre colis. Passé ce délai, celui-ci sera automatiquement renvoyé. En cas d'indisponibilité, vous pouvez opter pour un retrait en agence Geodis. Il est possible de demander un changement d’adresse de livraison (au sein de la zone de livraison) ou d’apporter un complément d’information par téléphone auprès de Geodis. En cas de besoin, vous pouvez joindre Geodis au 09 78 03 02 62 et leur communiquer votre numéro de bon de livraison (BL).
Livraison;Agediss : quels sont les délais et modalités d’une livraison ?;Vous êtes livré par Agediss dans la pièce de votre choix sous 10 à 20 jours ouvrés. Une fois la commande remise au transporteur, vous recevez un e-mail de confirmation avec le numéro de bon de livraison (BL). Vous êtes ensuite contacté par téléphone pour convenir d’un rendez-vous du lundi au vendredi et de 7h à 18h (les plages proposées peuvent varier selon votre code postal). Un créneau horaire de 2 à 3 heures vous est confirmé par SMS la veille de la livraison. Le jour convenu, les livreurs vous préviennent de leur arrivée 30 minutes avant leur passage. Deux livreurs assurent le déballage de vos articles dans la pièce souhaitée. À noter, leur prestation ne comprend pas l'assemblage des articles mais les livreurs reprennent les emballages (sur demande pour les meubles à assembler). Pensez bien à mesurer vos portes ainsi que les escaliers et/ou l’ascenseur ! Il est de votre responsabilité de vous assurer, au préalable, que la livraison se passe sans encombre. En cas d’absence, un avis de passage est laissé dans votre boîte aux lettres avec les coordonnées du transporteur pour convenir d’une nouvelle date de livraison. En cas de besoin, vous pouvez joindre Agediss au 0800 73 25 25 et leur communiquer votre numéro de bon de livraison (BL). Retrouvez tous les détails de votre commande et votre suivi de livraison dans votre compte client, rubrique Mes commandes.
Livraison;Chronopost : Quels sont les délais et modalités d’une livraison ?;Vous êtes livré par Chronopost sous 4 à 6 jours ouvrés, au pied du bâtiment pour un immeuble ou au portail pour une maison. Dans le cas d'articles volumineux et/ou lourds, il est fortement recommandé de prévoir l'aide d'une tierce personne pour l'acheminement de vos articles jusqu'à votre domicile. Une fois votre commande remise au transporteur, vous recevez un e-mail de confirmation avec le numéro de colis et un lien pour suivre son acheminement. Un e-mail ou SMS vous est envoyé la veille du passage du transporteur pour vous informer de la livraison sur un créneau de 3 à 4 heures. Le créneau est affiné à 1 heure le jour de la livraison. En cas d'indisponibilité, vous pouvez reporter la livraison au jour souhaité ou demander la mise en disponibilité dans un point de retrait. Il est également possible depuis le suivi Chronopost de demander un changement d’adresse de livraison ou d’apporter un complément d’information. En cas d’absence, un avis vous informe du passage du transporteur. Vous pouvez reprogrammer une livraison ou demander la mise à disposition dans un point de retrait. Si vous optez pour le retrait, vous disposez alors de 10 jours ouvrés pour retirer votre colis. Passé ce délai, celui-ci sera automatiquement renvoyé. En cas de besoin, vous pouvez joindre Chronopost au 08 25 80 18 01 et leur communiquer votre numéro de colis.
Livraison;Colissimo point de retrait : quels sont les délais et modalités d’une livraison ?;Votre commande est livrée sous 3 à 6 jours ouvrés dans le bureau de poste ou le point de retrait de votre choix. Une fois expédiée, vous recevez un e-mail de confirmation avec un lien Colissimo pour suivre l’acheminement de votre colis. Vous êtes ensuite informé de la disponibilité de votre commande par e-mail et/ou par SMS. Vous disposez alors de 10 jours pour récupérer votre commande sur présentation d’une pièce d’identité. Passé ce délai, le colis nous sera automatiquement retourné. En cas de besoin, vous pouvez joindre Colissimo au 36 31 et leur communiquer votre numéro de colis. 
Livraison;City transport : quels sont les délais et modalités d’une livraison ?;City transport livre sous 4 à 6 jours ouvrés avec 2 prestations différentes en fonction du type d’articles commandés. Vous pouvez vérifier l’appellation du transporteur et votre prestation de livraison sur votre bon de commande ou votre e-mail de confirmation. Pour une livraison par City transport LV1, un livreur vous livre au pied du bâtiment pour un immeuble ou au portail pour une maison. Il n’assure pas le déballage de vos articles, ni la reprise des cartons. A noter, la prestation ne comprend pas l’assistance pour la livraison au-delà de votre porte d’entrée ou porte d’immeuble. Dans le cas d'articles volumineux et/ou lourds, il est fortement recommandé de prévoir l'aide d'une tierce personne pour l'acheminement de vos articles jusqu'à votre domicile. Pour une livraison par City transport, deux livreurs vous livrent dans la pièce de votre choix. Ils assurent le déballage de vos articles et la reprise des emballages (sur demande pour les meubles à assembler). A noter, leur prestation ne comprend pas l'assemblage des articles. Pensez bien également à mesurer vos portes ainsi que les escaliers et/ou l’ascenseur ! Il est de votre responsabilité de vous assurer, au préalable, que la livraison se passe sans encombre. Retrouvez tous les détails de votre commande et votre suivi de livraison dans votre compte client, rubrique Mes commandes. Une fois la commande remise au transporteur, vous recevez un e-mail de confirmation avec le numéro de bon de livraison (BL). Vous êtes ensuite contacté par téléphone pour convenir d’un rendez-vous du lundi au samedi et de 8h à 18h (les plages horaires proposées peuvent varier selon votre code postal). Un créneau horaire de 4 heures vous est confirmé dès la prise de rendez-vous. Le jour convenu, le livreur vous prévient de son arrivée 30 minutes avant son passage. En cas d’absence, un avis de passage est laissé dans votre boîte aux lettres avec les coordonnées du transporteur pour convenir d’une nouvelle date de livraison. En cas de besoin, vous pouvez joindre City transport au 01 64 26 88 50 et lui communiquer votre numéro de bon de livraison (BL).
Livraison;Jacky Perrenot : quels sont les délais et modalités d’une livraison ?;Vous êtes livré par Jacky Perrenot dans la pièce de votre choix sous 6 à 8 jours ouvrés. Dès la préparation de la commande, vous êtes contacté par téléphone pour convenir d’un rendez-vous du lundi au samedi et de 7h30 à 17h (les plages horaires proposées peuvent varier selon votre code postal). Une fois la commande remise au transporteur, vous recevez un e-mail de confirmation avec le numéro de bon de livraison (BL). Un créneau horaire de 4 heures vous est confirmé par SMS 48h avant la livraison. Le jour convenu, les livreurs vous préviennent de leur arrivée 30 minutes avant leur passage. Deux livreurs assurent le déballage de vos articles dans la pièce souhaitée. À noter, leur prestation ne comprend pas l'assemblage des articles mais les livreurs reprennent les emballages (sur demande pour les meubles à assembler). Pensez bien à mesurer vos portes ainsi que les escaliers et/ou l’ascenseur ! Il est de votre responsabilité de vous assurer, au préalable, que la livraison se passe sans encombre. En cas d’absence, un avis de passage est laissé dans votre boîte aux lettres avec les coordonnées du transporteur pour convenir d’une nouvelle date de livraison. En cas de besoin, vous pouvez joindre Jacky Perrenot au 04 90 47 97 10 et leur communiquer votre numéro de bon de livraison (BL). Retrouvez tous les détails de votre commande et votre suivi de livraison dans votre compte client, rubrique Mes commandes.
Livraison;Guisnel : quels sont les délais et modalités d’une livraison ?;Vous êtes livré par Guisnel dans la pièce de votre choix sous 6 à 8 jours ouvrés (11 à 16 jours pour la Corse). Dès la préparation de la commande, vous êtes contacté par téléphone pour convenir d’un rendez-vous du lundi au samedi et de 7h à 20h (les plages horaires proposées peuvent varier selon votre code postal). Une fois la commande remise au transporteur, vous recevez un e-mail de confirmation avec le numéro de bon de livraison (BL). La veille de la livraison, un créneau horaire de 2 heures vous est confirmé par SMS dans la soirée. Le jour convenu, les livreurs vous préviennent de leur arrivée 30 minutes avant leur passage. Deux livreurs assurent le déballage de vos articles dans la pièce souhaitée. À noter, leur prestation ne comprend pas l'assemblage des articles mais les livreurs reprennent les emballages (sur demande pour les meubles à assembler). Pensez bien à mesurer vos portes ainsi que les escaliers et/ou l’ascenseur ! Il est de votre responsabilité de vous assurer, au préalable, que la livraison se passe sans encombre. En cas d’absence, un avis de passage est laissé dans votre boîte aux lettres avec les coordonnées du transporteur pour convenir d’une nouvelle date de livraison. En cas de besoin, vous pouvez joindre Guisnel au 01 48 15 43 10 et leur communiquer votre numéro de bon de livraison (BL). Retrouvez tous les détails de votre commande et votre suivi de livraison dans votre compte client, rubrique Mes commandes.
Livraison;Geodis point de retrait : quels sont les délais et modalités d’une livraison ?;Votre commande est livrée sous 3 à 6 jours ouvrés dans le point retrait Geodis de votre choix. Une fois votre commande remise au transporteur, vous recevez un e-mail de confirmation avec le numéro de bon de livraison (BL) et un lien pour suivre l’acheminement de votre colis. Vous êtes ensuite informé de la disponibilité de votre commande par e-mail et/ou par SMS. Pensez à bien vérifier vos courriers indésirables ! Vous disposez alors de 14 jours pour récupérer votre commande sur présentation d’une pièce d’identité et de l’e-mail de confirmation. Passé ce délai, le colis nous sera automatiquement retourné.À noter, l’aide au chargement n’est pas comprise dans la prestation. En cas de besoin, vous pouvez joindre Geodis au 09 78 03 02 62 et leur communiquer votre numéro de bon de livraison (BL). 
Livraison;Ab Custom : quels sont les délais et modalités d’une livraison ?;Vous êtes livré par Ab Custom sous 6 à 8 jours ouvrés et dans la pièce de votre choix. Une fois la commande remise au transporteur, vous recevez un e-mail de confirmation avec le numéro de bon de livraison (BL). Vous êtes contacté par téléphone pour convenir d’un rendez-vous du lundi au vendredi et de 9h à 18h (les plages horaires proposées peuvent varier selon votre code postal). Un créneau horaire de 2 heures vous est confirmé dès la prise de rendez-vous. Le jour convenu, les livreurs vous préviennent de leur arrivée 1 heure avant leur passage. Deux livreurs assurent le déballage de vos articles dans la pièce souhaitée. À noter, leur prestation ne comprend pas l'assemblage des articles mais les livreurs reprennent les emballages (sur demande pour les meubles à assembler). Pensez bien à mesurer vos portes ainsi que les escaliers et/ou l’ascenseur ! Il est de votre responsabilité de vous assurer, au préalable, que la livraison se passe sans encombre. En cas d’absence, un avis de passage est laissé dans votre boîte aux lettres avec les coordonnées du transporteur pour convenir d’une nouvelle date de livraison. En cas de besoin, vous pouvez joindre Ab Custom au 0032 471 52 50 81 et leur communiquer votre numéro de bon de livraison (BL). Retrouvez tous les détails de votre commande et votre suivi de livraison dans votre compte client, rubrique Mes commandes.
Livraison;Cogepart : quels sont les délais et modalités d'une livraison ?;Cogepart livre sous 4 à 6 jours ouvrés avec 2 prestations différentes en fonction du type d’articles commandés. Vous pouvez vérifier l’appellation du transporteur et votre prestation de livraison sur votre bon de commande ou vote e-mail de confirmation. Pour une livraison par Cogepart LV1, un livreur vous livre au pied du bâtiment pour un immeuble ou au portail pour une maison. Il n’assure pas le déballage de vos articles, ni la reprise des cartons. A noter, la prestation ne comprend pas l’assistance pour la livraison au-delà de votre porte d’entrée ou porte d’immeuble. Dans le cas d'articles volumineux et/ou lourds, il est fortement recommandé de prévoir l'aide d'une tierce personne pour l'acheminement de vos articles jusqu'à votre domicile.Pour une livraison par Cogepart LV2, deux livreurs vous livrent dans la pièce de votre choix. Ils assurent le déballage de vos articles et la reprise des emballages (hors meubles à assembler). A noter, leur prestation ne comprend pas l'assemblage des articles. Pensez bien également à mesurer vos portes ainsi que les escaliers et/ou l’ascenseur ! Il est de votre responsabilité de vous assurer, au préalable, que la livraison se passe sans encombre. Retrouvez tous les détails de votre commande et votre suivi de livraison dans votre compte client, rubrique Mes commandes. Une fois la commande remise au transporteur, vous recevez un e-mail de confirmation avec le numéro de bon de livraison (BL). Vous êtes ensuite contacté par téléphone pour convenir d’un rendez-vous du lundi au vendredi et de 8h à 19h (les dates de livraison proposées peuvent varier en fonction du volume de votre commande et du lieu de livraison). Un créneau horaire de 2 heures vous est confirmé par SMS la veille de la livraison. Sur demande, le livreur peut vous prévenir de son arrivée 1 heure avant son passage. En cas d’absence, un avis de passage est laissé dans votre boîte aux lettres. Vous serez recontacté le lendemain afin de fixer un nouveau rendez-vous. En cas de besoin, vous pouvez joindre Cogepart au 04 95 04 55 56 et lui communiquer votre numéro de bon de livraison (BL).
Livraison;Mobifret : quels sont les délais et modalités d’une livraison ?;Mobifret livre sous 4 à 6 jours ouvrés avec 2 prestations différentes en fonction du type d’articles commandés. Vous pouvez vérifier l’appellation du transporteur et votre prestation de livraison sur votre bon de commande ou votre e-mail de confirmation. Pour une livraison par Mobifret LV1, un livreur vous livre au pied du bâtiment pour un immeuble ou au portail pour une maison. Il n’assure pas le déballage de vos articles, ni la reprise des cartons. A noter, la prestation ne comprend pas l’assistance pour la livraison au-delà de votre porte d’entrée ou porte d’immeuble. Dans le cas d'articles volumineux et/ou lourds, il est fortement recommandé de prévoir l'aide d'une tierce personne pour l'acheminement de vos articles jusqu'à votre domicile. Pour une livraison par Mobifret LV2, deux livreurs vous livre dans la pièce de votre choix. Ils assurent le déballage de vos articles et la reprise des emballages (sur demande pour les meubles à assembler). A noter, leur prestation ne comprend pas l'assemblage des articles. Pensez bien également à mesurer vos portes ainsi que les escaliers et/ou l’ascenseur ! Il est de votre responsabilité de vous assurer, au préalable, que la livraison se passe sans encombre. Retrouvez tous les détails de votre commande et votre suivi de livraison dans votre compte client, rubrique Mes commandes. Une fois la commande remise au transporteur, vous recevez un e-mail de confirmation avec le numéro de bon de livraison (BL). Vous êtes ensuite contacté par SMS pour convenir d’un rendez-vous du lundi au samedi et de 8h à 18h (les plages horaires proposées peuvent varier selon votre code postal). Un créneau horaire de 2 heures vous est confirmé dès la prise de rendez-vous. Sans appel de votre part dans les 48 heures suivant l'envoi de ce SMS, Mobifret vous contactera par téléphone. Sur demande, le livreur peut vous prévenir de son arrivée 1 heure avant son passage. En cas d’absence, un avis de passage est laissé dans votre boîte aux lettres et le transporteur vous rappelle le lendemain pour convenir d’une nouvelle date de livraison. En cas de besoin, vous pouvez joindre Mobifret au 01 88 60 05 60 et lui communiquer votre numéro de bon de livraison (BL).
Livraison;Quels sont les délais et modalités d’une livraison en magasin ?;Votre commande est livrée sous 4 à 6 jours ouvrés dans le magasin de votre choix. Si vous avez passé commande sur Internet, vous recevez un e-mail vous invitant à retirer vos articles une fois réceptionnés. Pour les commandes passées en magasin, vous êtes prévenu par téléphone de la livraison des articles. Vous disposez alors de 10 jours pour la retirer sur présentation d’une pièce d’identité et de votre bon de commande ou e-mail de confirmation.À noter, l’aide au chargement n’est pas comprise dans la prestation. 
